x1	y1	z1
PTA	Fam63b	0.9
PTA	Fam82b	0.4
PTA	Fam96a	0.5
PTA	Fam96b	3.3
PTA	Fam98b	0.1
PTA	Farp1	3.9
PTA	Fars2	0.2
PTA	Farsb	1.5
PTA	Fasn	0.1
PTA	Fat1	9.4
PTA	Fbxl3	3.2
PTA	Fbxl5	4.3
PTA	Fbxo11	5.4
PTA	Fbxo2	11.5
PTA	Fbxo22	0.3
PTA	Fbxo28	0.5
PTA	Fbxo3	0.9
PTA	Fbxo44	0.1
PTA	Fbxo9	1.6
PTA	Fbxw11	7.5
PTA	Fbxw5	0.1
PTA	Fcf1	0.4
PTA	Fchsd2	3.1
PTA	Fdft1	36.9
PTA	Fdx1	0.1
PTA	Fech	0.2
PTA	Fem1b	1.1
PTA	Fermt2	20.8
PTA	Fez1	20.6
PTA	Fez2	3.1
PTA	Fezf2	8.3
PTA	Fgd4	5.0
PTA	Fgd6	3.2
PTA	Fgf1	17.8
PTA	Fgfr1	3.8
PTA	Fgfr2	23.0
PTA	Fgfr3	7.9
PTA	Fgfrl1	7.7
PTA	Fhl1	24.1
PTA	Fibp	0.1
PTA	Fip1l1	7.4
PTA	Fis1	0.2
PTA	Fjx1	4.2
PTA	Fkbp1a	4.0
PTA	Fkbp2	1.5
PTA	Fkbp3	2.5
PTA	Fkbp4	0.9
PTA	Fkbp9	2.8
PTA	Fmn2	13.4
PTA	Fmnl2	13.1
PTA	Fmo1	0.1
PTA	Fmr1	0.6
PTA	Fnbp1	5.9
PTA	Fndc4	1.8
PTA	Fnta	20.3
PTA	Folh1	0.1
PTA	Fos	5.9
PTA	Fosb	1.6
PTA	Foxg1	2.4
PTA	Foxo1	5.0
PTA	Frmd4a	3.7
PTA	Fryl	1.4
PTA	Fstl1	7.5
PTA	Fth1	213.8
PTA	Fto	12.3
PTA	Ftsjd2	1.2
PTA	Fubp3	0.8
PTA	Fuca1	4.5
PTA	Fundc1	0.9
PTA	Fundc2	5.8
PTA	Fut8	6.5
PTA	Fut9	10.1
PTA	Fxr1	0.8
PTA	Fxyd1	12.5
PTA	Fyn	15.3
PTA	Fyttd1	0.3
PTA	Fzd1	1.2
PTA	Fzd2	0.1
PTA	G3bp2	2.9
PTA	G6pc3	5.3
PTA	Gaa	0.1
PTA	Gab1	5.0
PTA	Gabarap	60.0
PTA	Gabarapl1	6.1
PTA	Gabarapl2	16.6
PTA	Gabbr1	14.7
PTA	Gabbr2	0.2
PTA	Gabpa	0.5
PTA	Gabra2	38.1
PTA	Gabrb1	7.5
PTA	Gabrg1	7.3
PTA	Galnt1	1.8
PTA	Galntl1	0.8
PTA	Ganab	9.6
PTA	Gapdh	194.0
PTA	Gapvd1	2.1
PTA	Gas5	7.6
PTA	Gatad1	0.4
PTA	Gatad2b	24.1
PTA	Gatc	4.7
PTA	Gba	7.7
PTA	Gbas	6.2
PTA	Gca	0.9
PTA	Gcc2	1.5
PTA	Gcfc1	3.8
PTA	Gclc	0.4
PTA	Gclm	0.8
PTA	Gcnt4	0.1
PTA	Gcsh	6.1
